metric_id,metric_name,description
42,'Replication: status',"'Replication status: 0 — streaming is down, 1 — streaming is up, 2 — master mode'"
43,'Replication: lag in seconds','Replication lag with Master in seconds'
44,'Transactions','Collect metrics by transaction execution time'
45,'Transactions: Max active transaction time','Current max active transaction time'
46,'Transactions: Max idle transaction time','Current max idle transaction time'
47,'Transactions: Max prepared transaction time','Current max prepared transaction time'
48,'Transactions: Max waiting transaction time','Current max waiting transaction time'
49,'Status: Config hash','PostgreSQL configuration hash'
50,'WAL','Master item to collect WAL metrics'
51,'WAL: Bytes written per second','WAL write in bytes'
52,'WAL: Segments count','Number of WAL segments'
53,'Locks','Collect all metrics from pg_locks per database https://www.postgresql.org/docs/current/explicit-locking.html#LOCKING-TABLES'
54,'DB {#DBNAME} locks: Total','Total number of locks in the database'
55,'DB {#DBNAME} scans','Number of scans done for table/index in the database'
56,'DB {#DBNAME} scans: Index','Number of index scans in the database'
57,'DB {#DBNAME} scans: Sequential','Number of sequential scans in the database'
58,'Queries','Collect all metrics by query execution time'
59,'DB {#DBNAME} queries: Max maintenance time','Max maintenance query time'
60,'DB {#DBNAME} queries: Max query time','Max query time'
61,'DB {#DBNAME} queries: Max transaction time','Max transaction query time'
62,'DB {#DBNAME} queries: Sum maintenance time','Sum maintenance query time'
63,'DB {#DBNAME} queries: Sum query time','Sum query time'
64,'DB {#DBNAME} queries: Sum transaction time','Sum transaction query time'
65,'DB {#DBNAME} queries: Slow maintenance count','Slow maintenance query count'
66,'DB {#DBNAME} queries: Slow query count','Slow query query count'
67,'DB {#DBNAME} queries: Slow transaction count','Slow transaction query count'
68,'DB {#DBNAME} frozen XID',''
69,'DB {#DBNAME} frozen XID: before stop %','Preventing Transaction ID Wraparound Failures https://www.postgresql.org/docs/current/routine-vacuuming.html#VACUUM-FOR-WRAPAROUND'
70,'DB {#DBNAME} frozen XID: before avtovacuum %','Preventing Transaction ID Wraparound Failures https://www.postgresql.org/docs/current/routine-vacuuming.html#VACUUM-FOR-WRAPAROUND'
71,'Number of CPUs','CPU'
72,'Load average (1m avg)','CPU'
73,'Load average (5m avg)','CPU'
74,'Load average (15m avg)','CPU'
75,'CPU utilization','CPU CPU utilization in %'
76,'CPU idle time','CPU The time the CPU has spent doing nothing.'
77,'CPU system time','CPU The time the CPU has spent running the kernel and its processes.'
78,'CPU user time','CPU The time the CPU has spent running users' processes that are not niced.'
79,'CPU nice time','CPU The time the CPU has spent running users' processes that have been niced.'
80,'CPU iowait time','CPU Amount of time the CPU has been waiting for I/O to complete.'
81,'CPU steal time','CPU The amount of CPU 'stolen' from this virtual machine by the hypervisor for other tasks (such as running another virtual machine).'
82,'CPU interrupt time','CPU The amount of time the CPU has been servicing hardware interrupts.'
83,'CPU softirq time','CPU The amount of time the CPU has been servicing software interrupts.'
84,'CPU guest time','CPU Guest time (time spent running a virtual CPU for a guest operating system)'
85,'CPU guest nice time','CPU Time spent running a niced guest (virtual CPU for guest operating systems under the control of the Linux kernel)'
86,'Context switches per second','CPU'
87,'Interrupts per second','CPU'
88,'{#FSNAME}: Used space','Filesystems Used storage in Bytes'
89,'{#FSNAME}: Total space','Filesystems Total space in Bytes'
90,'{#FSNAME}: Space utilization','Filesystems Space utilization in % for {#FSNAME}'
91,'{#FSNAME}: Free inodes in %','Filesystems'
92,'Memory utilization','Memory Memory used percentage is calculated as (100-pavailable)'
93,'Total memory','Memory Total memory in Bytes'
94,'Available memory',"'Memory Available memory, in Linux, available = free + buffers + cache. On other platforms calculation may vary. See also: https://www.zabbix.com/documentation/current/manual/appendix/items/vm.memory.size_params'"
95,'Total swap space','Memory The total space of swap volume/file in bytes.'
96,'Free swap space','Memory The free space of swap volume/file in bytes.'
97,'Free swap space in %','Memory The free space of swap volume/file in percent.'
98,'{#DEVNAME}: Disk read rate','Storage r/s. The number (after merges) of read requests completed per second for the device.'
99,'{#DEVNAME}: Disk write rate','Storage w/s. The number (after merges) of write requests completed per second for the device.'
100,'{#DEVNAME}: Disk read request avg waiting time (r_await)','Storage This formula contains two boolean expressions that evaluates to 1 or 0 in order to set calculated metric to zero and to avoid division by zero exception.'
101,'{#DEVNAME}: Disk write request avg waiting time (w_await)','Storage This formula contains two boolean expressions that evaluates to 1 or 0 in order to set calculated metric to zero and to avoid division by zero exception.'
102,'{#DEVNAME}: Disk average queue size (avgqu-sz)',"'Storage Current average disk queue, the number of requests outstanding on the disk at the time the performance data is collected.'"
103,'{#DEVNAME}: Disk utilization','Storage This item is the percentage of elapsed time that the selected disk drive was busy servicing read or writes requests.'
104,'Get /proc/diskstats','Zabbix_raw_items Get contents of /proc/diskstats for discovery and disk stats.'
105,'{#DEVNAME}: Disk read time (rate)','Zabbix_raw_items Rate of total read time counter. Used in r_await calculation'
106,'{#DEVNAME}: Disk write time (rate)','Zabbix_raw_items Rate of total write time counter. Used in w_await calculation'
107,'Interface {#IFNAME}: Bits received','Network_interfaces '
108,'Interface {#IFNAME}: Bits sent','Network_interfaces '
109,'Interface {#IFNAME}: Outbound packets with errors','Network_interfaces '
110,'Interface {#IFNAME}: Inbound packets with errors','Network_interfaces '
111,'Interface {#IFNAME}: Outbound packets discarded','Network_interfaces '
112,'Interface {#IFNAME}: Inbound packets discarded','Network_interfaces '
113,'Interface {#IFNAME}: Operational status',"'Network_interfaces Indicates the interface RFC2863 operational state as a string. Possible values are:""unknown"", ""notpresent"", ""down"", ""lowerlayerdown"", ""testing"",""dormant"", ""up"". Reference: https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net'"
114,'Interface {#IFNAME}: Interface type','Network_interfaces Indicates the interface protocol type as a decimal value. See include/uapi/linux/if_arp.h for all possible values. Reference: https://www.kernel.org/doc/Documentation/ABI/testing/sysfs-class-net'
115,'System boot time','General'
116,'System local time','General System local time of the host.'
117,'System name','General System host name.'
118,'System description','General The information as normally returned by 'uname -a'.'
119,'Number of logged in users','General Number of users who are currently logged in.'
120,'Maximum number of open file descriptors','General It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.'
121,'Maximum number of processes','General It could be increased by using sysctrl utility or modifying file /etc/sysctl.conf.'
122,'Number of processes','General'
123,'Number of running processes','General'
124,'Operating system','Inventory'
125,'Operating system architecture','Inventory Operating system architecture of the host.'
126,'Software installed','Inventory'
127,'Checksum of /etc/passwd','Security'
128,'System uptime',"'Status System uptime in 'N days, hh:mm:ss' format.'"
